id_season;id_league;date;time;id_club_home;id_club_visiting;
2011;246;15-09-2010;18.30;90;326;
2011;246;15-09-2010;18.30;187;287;
2011;246;15-09-2010;18.30;254;94;
2011;246;15-09-2010;18.30;100;271;
2011;246;15-09-2010;18.30;2278;122;
2011;246;15-09-2010;18.30;216;2685;
2011;246;17-09-2010;18.30;122;90;
2011;246;17-09-2010;18.30;254;2685;
2011;246;17-09-2010;18.30;271;216;
2011;246;17-09-2010;18.30;94;187;
2011;246;17-09-2010;18.30;287;100;
2011;246;17-09-2010;18.30;326;2278;
2011;246;19-09-2010;16.00;216;2107;
2011;246;20-09-2010;18.30;271;2107;
2011;246;20-09-2010;18.30;90;287;
2011;246;22-09-2010;18.30;100;326;
2011;246;22-09-2010;18.30;122;94;
2011;246;22-09-2010;18.30;187;254;
2011;246;22-09-2010;18.30;2685;271;
2011;246;24-09-2010;18.30;187;122;
2011;246;24-09-2010;18.30;90;2278;
2011;246;24-09-2010;18.30;287;94;
2011;246;24-09-2010;18.30;2685;100;
2011;246;24-09-2010;18.30;326;216;
2011;246;25-09-2010;16.00;2278;216;
2011;246;26-09-2010;16.00;90;2107;
2011;246;27-09-2010;18.30;122;326;
2011;246;27-09-2010;18.30;94;2107;
2011;246;29-09-2010;18.30;254;90;
2011;246;29-09-2010;18.30;2278;2685;
2011;246;29-09-2010;18.30;94;100;
2011;246;29-09-2010;18.30;271;187;
2011;246;01-10-2010;18.30;2685;90;
2011;246;01-10-2010;18.30;2278;271;
2011;246;01-10-2010;18.30;287;326;
2011;246;01-10-2010;18.30;216;254;
2011;246;02-10-2010;16.00;90;94;
2011;246;02-10-2010;16.00;254;287;
2011;246;02-10-2010;16.00;187;216;
2011;246;02-10-2010;16.00;122;2685;
2011;246;02-10-2010;16.00;326;271;
2011;246;04-10-2010;18.30;94;2278;
2011;246;06-10-2010;18.30;2685;326;
2011;246;06-10-2010;18.30;216;122;
2011;246;06-10-2010;18.30;271;287;
2011;246;06-10-2010;18.30;100;254;
2011;246;08-10-2010;18.30;254;271;
2011;246;08-10-2010;18.30;122;100;
2011;246;08-10-2010;18.30;2278;187;
2011;246;08-10-2010;18.30;216;90;
2011;246;09-10-2010;16.00;100;216;
2011;246;09-10-2010;16.00;2685;254;
2011;246;09-10-2010;16.00;326;187;
2011;246;09-10-2010;16.00;287;122;
2011;246;09-10-2010;16.00;271;90;
2011;246;10-10-2010;16.00;2278;2107;
2011;246;11-10-2010;18.30;216;271;
2011;246;11-10-2010;18.30;326;2107;
2011;246;13-10-2010;18.30;254;122;
2011;246;13-10-2010;18.30;94;287;
2011;246;13-10-2010;18.30;187;2685;
2011;246;13-10-2010;18.30;90;100;
2011;246;15-10-2010;18.30;2685;216;
2011;246;15-10-2010;18.30;2278;254;
2011;246;15-10-2010;18.30;287;90;
2011;246;15-10-2010;18.30;271;94;
2011;246;16-10-2010;16.00;216;94;
2011;246;16-10-2010;16.00;90;187;
2011;246;16-10-2010;16.00;122;2278;
2011;246;16-10-2010;16.00;100;287;
2011;246;16-10-2010;16.00;326;254;
2011;246;18-10-2010;18.30;187;100;
2011;246;20-10-2010;18.30;94;90;
2011;246;20-10-2010;18.30;287;2685;
2011;246;20-10-2010;18.30;122;271;
2011;246;20-10-2010;18.30;2278;326;
2011;246;22-10-2010;18.30;2685;94;
2011;246;22-10-2010;18.30;254;187;
2011;246;22-10-2010;18.30;100;2278;
2011;246;22-10-2010;18.30;326;122;
2011;246;22-10-2010;18.30;216;287;
2011;246;23-10-2010;16.00;94;326;
2011;246;23-10-2010;16.00;271;100;
2011;246;23-10-2010;16.00;287;2278;
2011;246;23-10-2010;16.00;187;216;
2011;246;23-10-2010;16.00;90;2685;
2011;246;24-10-2010;16.00;122;2107;
2011;246;25-10-2010;18.30;2685;2107;
2011;246;25-10-2010;18.30;287;254;
2011;246;27-10-2010;18.30;326;90;
2011;246;27-10-2010;18.30;187;271;
2011;246;27-10-2010;18.30;2278;94;
2011;246;27-10-2010;18.30;100;122;
2011;246;29-10-2010;18.30;122;187;
2011;246;29-10-2010;18.30;254;100;
2011;246;29-10-2010;18.30;271;326;
2011;246;30-10-2010;16.00;216;326;
2011;246;30-10-2010;16.00;100;2685;
2011;246;30-10-2010;16.00;94;254;
2011;246;30-10-2010;16.00;90;271;
2011;246;30-10-2010;16.00;2278;122;
2011;246;01-11-2010;16.00;100;94;
2011;246;03-11-2010;18.30;122;254;
2011;246;03-11-2010;18.30;216;271;
2011;246;03-11-2010;18.30;187;90;
2011;246;03-11-2010;18.30;2685;2278;
2011;246;03-11-2010;18.30;326;287;
2011;246;05-11-2010;18.30;287;187;
2011;246;05-11-2010;18.30;326;100;
2011;246;05-11-2010;18.30;271;122;
2011;246;05-11-2010;18.30;94;216;
2011;246;05-11-2010;18.30;254;2685;
2011;246;06-11-2010;16.00;122;326;
2011;246;06-11-2010;16.00;2685;287;
2011;246;06-11-2010;16.00;2278;100;
2011;246;06-11-2010;16.00;187;94;
2011;246;06-11-2010;16.00;90;216;
2011;246;08-11-2010;18.30;254;2107;
2011;246;08-11-2010;18.30;2685;122;
2011;246;09-11-2010;18.30;100;2107;
2011;246;10-11-2010;18.30;216;187;
2011;246;10-11-2010;18.30;326;2278;
2011;246;10-11-2010;18.30;94;287;
2011;246;10-11-2010;18.30;271;254;
2011;246;15-11-2010;18.30;2278;90;
2011;246;17-11-2010;18.30;287;216;
2011;246;17-11-2010;18.30;94;2685;
2011;246;17-11-2010;18.30;100;187;
2011;246;19-11-2010;18.30;100;254;
2011;246;19-11-2010;18.30;90;94;
2011;246;19-11-2010;18.30;122;287;
2011;246;19-11-2010;18.30;187;326;
2011;246;19-11-2010;18.30;271;2278;
2011;246;20-11-2010;16.00;94;271;
2011;246;20-11-2010;16.00;287;90;
2011;246;20-11-2010;16.00;254;326;
2011;246;20-11-2010;16.00;216;2278;
2011;246;20-11-2010;16.00;2685;187;
2011;246;22-11-2010;18.30;271;187;
2011;246;24-11-2010;18.30;326;94;
2011;246;24-11-2010;18.30;122;216;
2011;246;24-11-2010;18.30;2278;287;
2011;246;24-11-2010;18.30;2685;100;
2011;246;24-11-2010;18.30;90;254;
2011;246;26-11-2010;18.30;90;122;
2011;246;26-11-2010;18.30;254;2278;
2011;246;26-11-2010;18.30;216;100;
2011;246;26-11-2010;18.30;326;2685;
2011;246;27-11-2010;16.00;187;2278;
2011;246;27-11-2010;16.00;100;90;
2011;246;27-11-2010;16.00;287;271;
2011;246;27-11-2010;16.00;94;122;
2011;246;29-11-2010;18.30;254;216;
2011;246;01-12-2010;18.30;2278;100;
2011;246;01-12-2010;18.30;2685;287;
2011;246;01-12-2010;18.30;94;187;
2011;246;01-12-2010;18.30;90;271;
2011;246;03-12-2010;18.30;287;254;
2011;246;03-12-2010;18.30;216;2685;
2011;246;03-12-2010;18.30;122;2278;
2011;246;03-12-2010;18.30;187;326;
2011;246;04-12-2010;16.00;100;122;
2011;246;04-12-2010;16.00;254;326;
2011;246;04-12-2010;16.00;90;94;
2011;246;04-12-2010;16.00;271;216;
2011;246;08-12-2010;18.30;2685;254;
2011;246;08-12-2010;18.30;94;271;
2011;246;08-12-2010;18.30;216;187;
2011;246;08-12-2010;18.30;287;100;
2011;246;08-12-2010;18.30;2278;90;
2011;246;08-12-2010;18.30;122;326;
2011;246;10-12-2010;18.30;100;216;
2011;246;10-12-2010;18.30;271;254;
2011;246;10-12-2010;18.30;2685;2278;
2011;246;10-12-2010;18.30;90;287;
2011;246;10-12-2010;18.30;187;122;
2011;246;10-12-2010;18.30;326;94;
2011;246;11-12-2010;16.00;287;90;
2011;246;11-12-2010;16.00;216;100;
2011;246;11-12-2010;16.00;122;187;
2011;246;11-12-2010;16.00;94;326;
2011;246;11-12-2010;16.00;254;271;
2011;246;11-12-2010;16.00;2278;2685;
2011;246;13-12-2010;18.30;187;2107;
2011;246;13-12-2010;18.30;326;2685;
2011;246;14-12-2010;18.30;287;2107;
2011;246;15-12-2010;18.30;271;122;
2011;246;15-12-2010;18.30;100;94;
2011;246;17-12-2010;18.30;94;254;
2011;246;17-12-2010;18.30;2685;100;
2011;246;17-12-2010;18.30;326;216;
2011;246;17-12-2010;18.30;122;2278;
2011;246;17-12-2010;18.30;90;287;
2011;246;17-12-2010;18.30;187;271;
2011;246;18-12-2010;16.00;2278;216;
2011;246;18-12-2010;16.00;271;2685;
2011;246;29-12-2010;18.30;2278;326;
2011;246;29-12-2010;18.30;216;122;
2011;246;29-12-2010;18.30;287;94;
2011;246;29-12-2010;18.30;254;90;
2011;246;29-12-2010;18.30;271;2685;
2011;246;29-12-2010;18.30;100;187;
