2011;35;18.09.2010;;415;5840
2011;35;25.09.2010;;413;414
2011;35;2.10.2010;;5840;414
2011;35;5.10.2010;;5840;413
2011;35;5.10.2010;;414;415
2011;35;16.10.2010;;5840;415
2011;35;19.10.2010;;415;413
2011;35;09.10.2010;;414;413
2011;35;26.10.2010;;413;5840
2011;35;26.10.2010;;415;414
2011;35;30.10.2010;;413;415
2011;35;2.11.2010;;414;5840
2011;35;16.11.2010;;5840;414
2011;35;20.11.2010;;413;415
2011;35;23.11.2010;;5840;415
2011;35;27.11.2010;;415;5840
2011;35;30.11.2010;;414;413
2011;35;4.12.2010;;414;5840
2011;35;7.12.2010;;5840;413
2011;35;7.12.2010;;414;415
2011;35;14.12.2010;;413;414
2011;35;18.12.2010;;415;413
2011;35;28.12.2010;;415;414
2011;35;28.12.2010;;413;5840
2011;35;15.1.2011;;413;414
2011;35;18.1.2011;;415;5840
2011;35;22.1.2011;;414;5840
2011;35;25.1.2011;;413;415
2011;35;29.01.2011;;5840;414
2011;35;1.2.2011;;5840;413
2011;35;1.2.2011;;414;415
2011;35;5.2.2011;;415;413
2011;35;8.2.2011;;5840;415
2011;35;19.2.2011;;414;413
2011;35;22.2.2011;;413;5840
2011;35;22.2.2011;;415;414
